geohash,estaciones_sitp_100,estaciones_sitp_200,estaciones_sitp_500,estaciones_tm_100,estaciones_tm_200,estaciones_tm_500,supermarkets_100,supermarkets_200,supermarkets_500
d2g6cmsf,1,1,3,0,0,0,0,0,0
d2g6fh4u,0,2,18,0,0,0,0,1,12
d2g4rtmm,0,1,7,0,0,0,0,0,1
d2g60sdk,1,3,15,0,0,1,0,0,5
d2g606rr,1,3,18,0,0,0,0,0,0
d2g6c7ms,1,4,23,0,0,0,0,0,11
d2g62npm,2,5,26,0,0,0,0,1,4
d2g62wb1,1,7,28,0,0,0,0,0,0
d2g62v3g,0,6,18,0,0,0,3,3,7
d2g64nzt,1,2,19,0,0,2,0,0,13
d2g740qh,1,5,21,0,0,0,1,2,4
d2g74by9,0,1,14,0,0,0,1,3,17
d2g62vu5,0,0,16,0,0,0,0,0,4
d2g6gqk9,0,4,26,0,0,0,0,1,23
d2g61xut,0,0,19,0,0,0,0,1,14
d2g6247s,1,5,20,0,0,1,0,0,13
d2g4rezf,3,3,15,0,0,0,1,3,9
d2g3ctfd,0,1,19,0,0,0,0,1,7
d2g62x95,1,4,14,0,0,0,0,0,0
d2g66y5t,1,1,5,0,0,0,0,0,2
d2g71cjw,1,1,16,0,0,0,0,1,6
d2g6fbkj,1,1,11,0,1,1,0,1,4
d2g6eqb2,1,2,27,0,0,0,0,0,4
d2g61xse,0,0,14,0,0,0,2,3,17
d2g60d3v,0,0,12,0,0,0,0,0,2
d2g60hrm,2,4,22,0,0,1,0,0,2
d2g6fuwz,1,2,11,0,1,2,2,3,10
d2g71c64,0,1,19,0,0,0,1,3,7
d2g62wms,2,3,19,0,0,0,0,0,1
d2g33nxr,2,2,13,0,0,0,0,0,0
d2g33nm4,2,2,9,0,0,0,0,0,0
d2g75e0j,0,2,35,0,0,0,1,3,25
d2g60ht7,1,3,22,0,0,1,0,0,2
d2g33nhh,1,3,7,0,0,0,0,0,1
d2g752x5,0,0,13,0,0,0,0,0,3
d2g4rbr0,0,0,12,0,0,0,0,0,2
d2g3c3wf,2,4,19,0,0,0,0,0,0
d2g741dt,0,0,16,0,0,0,0,0,6
d2g606vx,1,3,18,0,0,0,0,0,1
d2g68s2k,1,3,13,0,0,0,0,0,2
d2g75e0j,0,2,35,0,0,0,1,3,25
d2g68s2k,1,3,13,0,0,0,0,0,2
d2g6914h,2,4,13,0,0,0,0,0,5
d2g6dzu0,0,0,11,0,0,2,0,2,5
d2g756vw,0,3,31,0,0,0,1,5,19
d2g75476,0,0,11,0,0,0,0,0,9
d2g62rhw,1,4,12,0,0,0,0,0,0
d2g33nmh,2,2,8,0,0,0,0,0,0
d2g62scc,0,2,22,0,0,0,0,0,9
d2g62x91,1,4,15,0,0,0,0,0,0
d2g74092,0,0,9,0,0,0,0,0,13
d2g4r9b5,0,0,18,0,0,0,0,0,2
d2g6ghhh,0,1,18,0,0,0,0,0,14
d2g6cfrh,0,5,16,0,0,0,0,0,4
d2g6c5hf,1,2,19,0,0,0,1,1,14
d2g7408m,0,0,10,0,0,1,0,1,14
d2g606pj,1,4,19,0,0,0,0,0,2
d2g6c59y,2,2,10,0,0,0,0,0,7
d2g6ghqx,0,0,13,0,0,0,0,1,13
d2g6gk2p,2,2,12,0,0,0,1,6,14
d2g7566p,4,4,21,0,0,0,1,4,10
d2g71f3m,0,0,8,0,0,0,0,0,7
d2g6ftj8,0,2,13,0,0,0,0,0,4
d2g6fz2y,1,7,18,0,0,0,3,6,7
d2g605y3,2,5,33,0,0,0,0,0,3
d2g69shb,1,6,18,0,0,0,0,2,5
d2g606vk,0,2,18,0,0,0,0,0,1
d2g62t26,1,3,21,0,0,0,1,1,1
d2g7413m,2,3,17,0,0,0,0,1,13
d2g69gtn,1,3,16,0,0,0,0,6,20
d2g66tfn,1,1,29,0,0,2,1,1,20
d2g62q3m,0,4,17,0,0,0,0,1,2
d2g607hy,0,4,19,0,0,0,0,1,2
d2g6fv7s,0,2,9,0,0,1,0,1,10
d2g69z96,0,0,16,0,0,1,1,4,19
d2g607hy,0,4,19,0,0,0,0,1,2
d2g69tcm,1,3,19,0,0,0,0,0,7
d2g625dg,0,4,15,0,0,0,0,0,6
d2g62cbk,2,6,32,0,0,0,0,0,3
d2g4rfnu,2,8,23,0,0,0,0,1,10
d2g68k6b,0,6,7,0,0,0,0,4,5
d2g60kr2,1,3,18,0,0,1,0,0,1
d2g68dqc,2,2,18,0,0,0,0,1,4
d2g695dt,1,3,17,0,0,0,0,0,3
d2g3c2t2,0,2,15,0,0,1,0,0,2
d2g60d8x,0,0,13,0,0,0,0,0,0
d2g4ru28,1,2,24,0,0,0,0,1,12
d2g6enw7,1,3,16,0,0,0,0,2,9
d2g68cxf,0,2,8,0,0,0,0,2,3
d2g68s27,1,2,13,0,0,0,0,0,1
d2g748ju,0,3,15,0,0,0,0,3,21
d2g712xt,2,4,30,0,0,0,0,0,0
d2g713w8,0,3,20,0,0,0,1,3,12
d2g719gs,0,2,14,0,0,0,0,0,5
d2g719v2,2,4,21,0,0,0,0,1,8
d2g7189x,2,6,36,0,0,0,0,0,2
d2g62rpx,0,6,23,0,0,0,0,0,0
